text,label
@hyalfay @NatharElyas @BosPurwa @NatharElyas @BosPurwa Prabowo menang di 2024 karena strategi cerdas: media sosial ubah imej jadi gemoy buat anak muda aliansi sama Gibran anak Jokowi iklan digital besar dan nyambung budaya gotong royong . Dapet 58 58% sua,ideologi
@sienchao @Sherly0ctaviany @jokowi Halo @Sienchao @Sherly0ctaviany mungkin terus mengangkat isu negatif Jokowi karena aktivisme politik atau ketidakpuasan dengan kepemimpinannya fokus pada korupsi dan kemunduran demokrasi. Kontennya mirip dengan akun lain,ideologi
@giovannikurnwn @BudiBukanIntel Nama Budi BerlarI mungkin mencerminkan sikap kritis @BudiBukanIntel terhadap pemerintah khususnya RUU KUHAP dan RUU POLRI yang kontroversial. Kedua RUU ini dikritik karena bisa memperluas kuasa polisi dan mengancam kebebasa,ideologi
@LeotardosMy @easyanying Kita akui keberhasilannya kita akui juga kekurangan. Gue gak terlalu peduli para pengkritik Jokowi atau pemerintah saat ini. Dalam demokrasi pro-kontra itu hal biasa bagi gue. Makanya gue juga jarang bahas soal mereka. Fokus kita ,ideologi
@LuckyGaben @susipudjiastuti @prabowo Indonesia masih bisa menuju kesuksesan tapi RUU TNI dan dwifungsi bikin khawatir. Upaya lawan judi online positif tapi perluasan peran militer di pemerintahan dan aktivis yang diam bisa jadi tanda mundur demokrasi. Pe,ideologi
Kalo gua bukan buzzer. Dukungan kita terhadap capres-cawapres hanya sebatas pada saat pesta demokrasi itu dimulai. Terlepas dari itu jika sudah selesai. Maka dukungan juga selesai. Biarkan yang menang bekerja dlm jabatannya selama 5 th. Jadi ya gak terlalu aktif bahas politik..,ideologi
@zarryhendrik Maaf saya tidak bisa menjelaskan dalam bahasa Minahasa karena kurangnya sumber daya terjemahan online untuk bahasa seperti Tondano. Dalam bahasa Indonesia: Kolaborasi mendukung demokrasi dengan memungkinkan partisipasi warga dalam pengambila,ideologi
@PekPekok @kompascom Berita tentang putusan Mahkamah Konstitusi bahwa kerusuhan digital di media sosial bukan tindak pidana menurut UU ITE tampaknya baik bagi masyarakat. Putusan ini melindungi kebebasan berpendapat memungkinkan warga Indonesia berekspres,ideologi
@virdianaurellio Mantap KK buzzer2 sok keras di twitter juga sepertinya perlu diajak debat online adu gagasan seperti ini biar rakyat bisa menilai serta nisa tahu Akun2 buzzer itu manusianya seperti apa bentuknya dan wawasannya sejauh mana ttg NKRI dan de,ideologi
@Rahwana060810 Di Jerman: Kampus punya portal verifikasi online. Di AS: Presiden publikasi transkrip nilai. Di Indonesia? 'Udah percaya saja' + hina yang bertanya. Kita mau pake standar mana? *Demokrasi bukan sekadar 'percaya partai' tapi hak publik memas,ideologi
